Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2010-0562-IDN,2010,0562,VO-2010-000214,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Klaten, Kota Klaten, Magelang, Kota Magelang, Boyolali districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",,Fire,,Yes,,,2234,,,,,,,2010,10,24,2010,10,24,322,454,136686,,137140,,,,,,,74.50944408,2,,17985;18034;18042;18043;18050;73730,"Boyolali, Klaten, Kota Klaten, Kota Magelang, Magelang, Sleman (Adm2). "
2010-0170-ISL,2010,0170,,Natural,Geophysical,Volcanic activity,Ash fall,,Eyjafjallajokull,Iceland,ISL,Northern Europe,Europe," Fljotshlid, Eyjafjöll, and Landeyjar villages (Rangarvalla province)",,Flood,,,,,,,,63.62959,-19.64,,,2010,3,,2010,4,,,,,,,,,,,,,74.50944408,1,1474,,Rang??rvalla (Adm1). 
2010-0274-ECU,2010,0274,VO-2010-000104,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,Ecuador,ECU,South America,Americas,"Tungurahua, Chimborazo, Bolivar, Pastaza, Los Rios, Guayas provinces",,,,,,,,,,-1.467,-78.442,,,2010,5,28,2010,5,28,,,2500,,2500,,,,,,,74.50944408,1,1136;1139;1147;1152;1155;22005,,"Bolivar, Chimborazo, Guayas, Los Rios, Pastaza, Tungurahua (Adm1). "
2010-0220-GTM,2010,0220,VO-2010-000103,Natural,Geophysical,Volcanic activity,Ash fall,,Pacaya volcano,Guatemala,GTM,Central America,Americas,"Escuintla, Guatemala, Sacatepéquez provinces",,,,Yes,,Yes,,,,14.381,-90.601,19:00,,2010,5,27,2010,5,27,,,1800,,1800,,,,,,,74.50944408,1,64821;64823;64825,,"Escuintla, Guatemala, Sacatepéquez (Adm1). "
2010-0446-IDN,2010,0446,VO-2010-000170,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,"Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)",,,,Yes,,,,,,3.17,98.392,00:15,,2010,8,29,2010,9,7,1,1,15059,,15060,,,,,,,74.50944408,2,,18227,Karo (Adm2). 
2011-0209-ARG,2011,0209,,Natural,Geophysical,Volcanic activity,Ash fall,,"Volcano ""Puyehue""",Argentina,ARG,South America,Americas,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province",,,,,,Yes,,,,-40.59,-72.12,,,2011,6,4,2011,6,17,,,3000,,3000,,,,,104000,135308,76.86159538,1;2,433,4743;4756,"Chubut (Adm1). Bariloche, Lacar (Adm2). "
2011-0209-CHL,2011,0209,,Natural,Geophysical,Volcanic activity,Ash fall,,"Volcano ""Puyehue""",Chile,CHL,South America,Americas,"Futrono, Lago Ranco, Rio Bueno towns (Ranco district, Los Rios province)",,,,,,,,,,-40.59,-72.12,,,2011,6,4,2011,6,17,,,3500,,3500,,,,,,,76.86159538,2,,149632,Ranco (Adm2). 
2009-0574-PHL,2009,0574,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Camalig, Daraga, Legaspi city, Tabaco, Malilipot, Santo Domingo, Ligao, Guinobatan areas (Albay district, Region V (Bicol region) province)",,Earthquake,,Yes,,,50,,,13.257,123.685,,,2009,12,14,2009,12,20,,,47137,,47137,,,,,,,73.30717672,2,,24240,Albay (Adm2). 
2010-0606-PHL,2010,0606,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Casiguran, Juban, Irosin, Magallanes areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2010,11,9,2010,11,9,,,14161,,14161,,,,,,,74.50944408,2,,24245,Sorsogon (Adm2). 
2011-0101-PHL,2011,0101,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin, Juban, Bulan areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2011,2,21,2011,2,21,,,32616,,32616,,,,,,,76.86159538,2,,24245,Sorsogon (Adm2). 
2009-0553-VUT,2009,0553,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Garet,Vanuatu,VUT,Melanesia,Oceania,Gaua island (Torba province),,,,,,,,,,,,,,2009,11,26,2009,11,26,,,400,,400,,,,,,,73.30717672,2,,31855,Administrative unit not available (Adm2). 
2011-0568-IDN,2011,0568,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ternate district (Maluku Utara province),,Flood,,,,,,,,0.8,127.33,,,2011,12,4,2011,12,27,3,5,2368,,2373,,,,,,,76.86159538,2,,73758,Kota Ternate (Adm2). 
2011-0506-IDN,2011,0506,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Kota Tomohon, Minahasa Selatan, Minahasa Utara, Minahasa districts (Sulawesi Utara province)",,,,,,,,,,1.358333,124.79,,,2011,7,11,2011,7,17,,,,6000,6000,,,,,,,76.86159538,2,,18200;73760;73798;73799;73800,"Kota Manado, Kota Tomohon, Minahasa, Minahasa Selatan, Minahasa Utara (Adm2). "
2012-0356-GTM,2012,0356,,Natural,Geophysical,Volcanic activity,Ash fall,,,Guatemala,GTM,Central America,Americas,"Sacatepéquez, Escuintla and Chimaltenango provinces",,,,,,,,,,,,,,2012,9,13,2012,9,13,,,10000,,10000,,,,,,,78.45211388,1,64823;64824;64825,,"Chimaltenango, Escuintla, Sacatepéquez (Adm1). "
2013-0542-IDN,2013,0542,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,Yes,,,,,,3.17,98.392,,,2013,9,,2013,12,,,,29727,,29727,,,,,,,79.60130942,2,,18227,Karo (Adm2). 
2011-0564-PHL,2011,0564,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Taal ,Philippines (the),PHL,South-Eastern Asia,Asia,"Talisay, San Nicolas, Balete areas (Batangas district, Region IV-A (Calabarzon) province)",,,,,,,,,,14.002,120.993,,,2011,3,17,2011,4,18,,,1315,,1315,,,,,,,76.86159538,2,,24227,Batangas (Adm2). 
2013-0355-PER,2013,0355,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Ubinas,Peru,PER,South America,Americas,"Arequipa district (Arequipa province), General Sanchez Cerro district (Moquagua province)",,,,,,Yes,,,,,,,,2013,9,12,2014,5,23,,,1040,,1040,,,,,,,79.60130942,2,,24039;24151,"Arequipa, General S??nchez Cerro (Adm2). "
2013-0543-SLV,2013,0543,VO-2013-000160,Natural,Geophysical,Volcanic activity,Ash fall,,Chaparrastique Volcano,El Salvador,SLV,Central America,Americas,"Chinameca, San Joge, El Transito, San Rafael de Oriente districts (San Miguel province)",,,,,,,,,,,,06:30,,2013,12,29,2013,12,29,,,63079,,63079,,,,,,,79.60130942,2,,15726;15730;15738;15741,"Chinameca, El Transito, San Jorge, San Rafael Oriente (Adm2). "
2014-0478-CPV,2014,0478,VO-2014-000158,Natural,Geophysical,Volcanic activity,Lava flow,,Pico do Fogo,Cabo Verde,CPV,Western Africa,Africa,"Bangaeira, Djeu Lorna, Portela, Cha das Caldeiras villages (Sao Filipe district, Fogo province)",,,,Yes,,,,,,,,10:00,,2014,11,23,2015,1,31,,,2500,,2500,,,,,,,80.89262372,2,,12816,Sao Filipe (Adm2). 
2015-0142-ARG,2015,0142,,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Argentina,ARG,South America,Americas,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,,,,,,,,,,2015,4,24,2015,4,24,,,,,,,,,,,,80.98857899,2,,4756,Bariloche (Adm2). 
2015-0142-CHL,2015,0142,,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Chile,CHL,South America,Americas,"Ensenada town (Llanquihue district, Los Lagos province)",,,,,,,,,,,,,,2015,4,24,2015,4,30,,,4000,,4000,,,,,600000,740845,80.98857899,2,,12955,Llanquihue (Adm2). 
2015-0143-CHL,2015,0143,,Natural,Geophysical,Volcanic activity,Ash fall,,Villarrica,Chile,CHL,South America,Americas,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)",,,,,,,,,,,,,,2015,3,,2015,3,,,,3600,,3600,,,,,,,80.98857899,2,,12935;149633,"Cautin, Valdivia (Adm2). "
2015-0104-CRI,2015,0104,VO-2015-000025,Natural,Geophysical,Volcanic activity,Ash fall,,Turrialba,Costa Rica,CRI,Central America,Americas,Turrialba district (Cartago province),,,,,,,,,,,,,,2015,3,12,2015,3,12,,,18450,,18450,,,,,,,80.98857899,2,,14492,Turrialba (Adm2). 
2015-0361-ECU,2015,0361,,Natural,Geophysical,Volcanic activity,Lava flow,,Cotopaxi,Ecuador,ECU,South America,Americas,"Cotopaxi, Napo, Pichincha provinces",,,,,,Yes,,,,-0.677,-78.436,,,2015,8,14,2015,8,22,,,800000,,800000,,,,,,,80.98857899,1,1140;1150;22006,,"Cotopaxi, Napo, Pichincha (Adm1). "
2015-0550-ECU,2015,0550,,Natural,Geophysical,Volcanic activity,,,Tungurahua ,Ecuador,ECU,South America,Americas,"Cotaló, Chacauco, Pillate, Chontapamba, Chonglontus, Cúsua, Juive, Bilbao, Pelileo, Quero, Mocha, Cevallos , Ambato; Tungurahua, Chimborazo provinces",,,,,,,,,,-1.467,-78.442,,,2015,11,17,2016,3,,,,130042,,130042,,,,,,,80.98857899,1,1139;1155,,"Chimborazo, Tungurahua (Adm1). "
2014-0044-IDN,2014,0044,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,,,,,,,3.17,98.392,,,2014,2,1,2014,2,1,32,2,32000,,32002,,,,,83000,102605,80.89262372,2,,18227,Karo (Adm2). 
2014-0064-IDN,2014,0064,VO-2014-000022,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Bantul, Kota Yogyakarta, Kulonprogo, Sleman districts (Daerah Istimewa Yogyakarta province), Boyolali, Kebumen, Kota Magelang, Kota Surakarta, Magelang, Purworejo, Temanggung, Wonogiri districts (Jawa Tengah province), Blitar, Kediri, Kota Blitar, Kota Kediri, Kota Malang, Kota Surabaya, Malang, Pacitan, Ponorogo districts (Jawa Timur province), Kota Mataram district (Nusatenggara Barat province)",,,,,,,,,,-7.93,112.308,,,2014,2,14,2014,2,14,7,70,83088,,83158,,,,,103000,127329,80.89262372,2,,17981;17983;17984;17985;18034;18041;18043;18047;18050;18055;18061;18062;18066;18072;18073;18074;18076;18080;18089;18092;73736;73780,"Bantul, Blitar, Boyolali, Kebumen, Kediri, Kota Blitar, Kota Kediri, Kota Magelang, Kota Malang, Kota Mataram, Kota Surabaya, Kota Surakarta, Kota Yogyakarta, Kulonprogo, Magelang, Malang, Pacitan, Ponorogo, Purworejo, Sleman, Temanggung, Wonogiri (Adm2). "
2014-0336-JPN,2014,0336,,Natural,Geophysical,Volcanic activity,,,Mt. Ontake,Japan,JPN,Eastern Asia,Asia,"Kaidamura, Mitakemura, Ootakimura districts (Nagano province), Asahimura, Osakatyoo, Takanemura districts (Gifu province)",,,,,,,,,,35.893,137.48,,,2014,9,27,2014,9,30,63,69,,,69,,,,,,,80.89262372,2,,33912;33978;33991;35277;35302;35325,"Asahimura, Kaidamura, Mitakemura, Ootakimura, Osakatyoo, Takanemura (Adm2). "
2014-0331-PHL,2014,0331,,Natural,Geophysical,Volcanic activity,,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Tabaco, Ligao, Legazpi city, Malilipot, Daraga, Camalig, Guinobatan, Sto. Domingo areas (Albay district, Region V (Bicol region) province)",,,,Yes,,Yes,,,,13.257,123.685,,,2014,9,16,2014,12,3,,,60545,,60545,,,,,,,80.89262372,2,,24240,Albay (Adm2). 
2014-0410-PNG,2014,0410,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bagana,Papua New Guinea,PNG,Melanesia,Oceania,"Arawa, Buin, Sohano districts, Northern Solomons province",,,,,,,,,,,,,,2014,8,9,2014,8,9,,,1380,,1380,,,,,,,80.89262372,2,,37537;37538;37539,"Arawa, Buin, Sohano (Adm2). "
2018-0168-GTM,2018,0168,VO-2018-000066,Natural,Geophysical,Volcanic activity,Pyroclastic flow ,,Volcan de Fuego,Guatemala,GTM,Central America,Americas,"El Rodeo, Las Lajas, Antigua, Escuintla, Chimaltenango, Sacatepequez, San Miguel Los Lotes ",,Rain,,Yes,,Yes,10000,,,,,,,2018,6,3,2018,6,3,461,27,1714387,,1714414,,,,,,,85.80302606,2,,64868,Antigua Guatemala (Adm2). 
2017-0393-IDN,2017,0393,VO-2017-000141,Natural,Geophysical,Volcanic activity,,,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,Bali (Karangasem),,,,,,,,,,,,,,2017,9,22,2017,11,28,,,133349,,133349,,,,,,,83.75725455,2,,17974,Karangasem (Adm2). 
2018-0458-IDN,2018,0458,,Natural,Geophysical,Volcanic activity,,,Anak Krakatoa,Indonesia,IDN,South-Eastern Asia,Asia,"Pandenglang, South Lampung, Serang districts (Bantan province)",,Tsunami/Tidal wave,,,,,,,,,,,,2018,12,22,2018,12,22,453,14059,33719,,47778,,,,,250000,291365,85.80302606,2,,18022;18024;18135,"Lampung Selatan, Pandeglang, Serang (Adm2). "
2018-0461-ITA,2018,0461,,Natural,Geophysical,Volcanic activity,,,Mount Etna,Italy,ITA,Southern Europe,Europe,"Acicatena, Acireale, Aci Sant’Antonio, Santa Venerina, Viagrande and Zafferana Etnea (Catane, Sicily)",,Earthquake,,,,,,5,,,,,,2018,12,24,2018,12,26,,28,300,,328,,,,,115000,134028,85.80302606,1,1630,,Sicilia (Adm1). 
2018-0016-IDN,2018,0016,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,2018,1,14,2018,1,14,,,50000,,50000,,,,,,,85.80302606,,,,
2018-0014-PHL,2018,0014,VO-2018-000005,Natural,Geophysical,Volcanic activity,Lava flow,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Bacacay, Daraga, Legazpi, Ligao, Santo Domingo, Tabao, Camalig, Guinobatan, Malilipot municipalities (Bicol region, Albay province)",,,,Yes,,Yes,,,,,,,,2018,1,13,2018,3,6,,,86056,,86056,,,,,3564,4154,85.80302606,2,,24240,Albay (Adm2). 
2018-0017-PNG,2018,0017,VO-2018-000002,Natural,Geophysical,Volcanic activity,,,,Papua New Guinea,PNG,Melanesia,Oceania,"Manot, Taragauo, Dong Sarakbano, Niukatnam, Rumgio (Kadovar islands)",,,,,,,,,,,,,,2018,1,5,2018,1,6,,,736,,736,,,,,,,85.80302606,2,,37488,Wewak (Adm2). 
2019-0298-PNG,2019,0298,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Ulawun and Manam,Papua New Guinea,PNG,Melanesia,Oceania,West New Britain,,,,,,,,,,,,,,2019,6,28,2019,6,28,,,15800,,15800,,,,,,,87.35800677,1,2306,,West New Britain (Adm1). 
2017-0394-VUT,2017,0394,VO-2017-000140,Natural,Geophysical,Volcanic activity,Ash fall,,Mt Monaro,Vanuatu,VUT,Melanesia,Oceania,"Ambae, Ni-Vanuatu island",,,,,,Yes,,,,,,,,2017,9,23,2017,10,2,,,11000,,11000,,,,,,,83.75725455,1,3297,,Penama (Adm1). 
2018-0146-USA,2018,0146,,Natural,Geophysical,Volcanic activity,Lava flow,,Kilauea,United States of America (the),USA,Northern America,Americas,Hawaï,,Earthquake,,,,,,7,,,,,,2018,5,3,2018,5,30,,,2500,,2500,,,,,500000,582730,85.80302606,1,3225,,Hawaii (Adm1). 
2018-0456-VUT,2018,0456,VO-2018-000424,Natural,Geophysical,Volcanic activity,Ash fall,,Ambryn,Vanuatu,VUT,Melanesia,Oceania,Malampa province,,Earthquake,,,,,,,,,,,,2018,12,15,2018,12,18,,,7286,,7286,,,,,,,85.80302606,1,3296,,Malampa (Adm1). 
2018-0147-VUT,2018,0147,,Natural,Geophysical,Volcanic activity,Ash fall,,Aoba (Manaro Voui),Vanuatu,VUT,Melanesia,Oceania,Ambae,,,,,,Yes,,,,,,,,2018,3,,2018,5,,,,6300,,6300,,,,,,,85.80302606,,,,
2019-0358-BOL,2019,0358,,Natural,Geophysical,Volcanic activity,Ash fall,,Ubinas,Bolivia (Plurinational State of),BOL,South America,Americas,"Lake Titicaca on the Peru-Bolivia border, La Paz department",,,,,,,,,,,,,,2019,7,19,2019,7,23,,,3000,,3000,,,,,,,87.35800677,1,40446,,La Paz (Adm1). 
2020-0479-ECU,2020,0479,VO-2020-000205,Natural,Geophysical,Volcanic activity,Ash fall,,Sangay,Ecuador,ECU,South America,Americas,"Chimborazo, Bolivar, Guayas, Los Ríos, Santa Elena, Manabí",,,,,,,,,,,,,,2020,9,20,2020,9,20,,,18685,,18685,,,,,,,88.43564081,1,1136;1139;1147;1148;22005;22007,,"Bolivar, Chimborazo, Guayas, Los Rios, Manabi, Santa Elena (Adm1). "
2019-0598-NZL,2019,0598,,Natural,Geophysical,Volcanic activity,Ash fall,,Whakaari/White Island volcano,New Zealand,NZL,Australia and New Zealand,Oceania,Whakaari/White Island ,,,,,,,,,,,,,,2019,12,9,2019,12,9,21,23,,,23,,,,,,,87.35800677,1,2172,,Bay Of Plenty (Adm1). 
2019-0358-PER,2019,0358,,Natural,Geophysical,Volcanic activity,Ash fall,,Ubinas,Peru,PER,South America,Americas,"Moquegua, Arequipa, Puno,Tacna Departments ",,,,,,Yes,,,,,,,,2019,7,19,2019,7,22,,,30000,,30000,,,,,,,87.35800677,1,2331;2345;2348;2350,,"Arequipa, Moquegua, Puno, Tacna (Adm1). "
2020-0517-IDN,2020,0517,VO-2020-000236,Natural,Geophysical,Volcanic activity,Ash fall,,Lewotolo Volcano,Indonesia,IDN,South-Eastern Asia,Asia,"Lembata Regency, Solor Archipelago",,,,,,Yes,,,,,,,,2020,11,29,2020,12,31,,,19736,,19736,,,,,,,88.43564081,1,1529,,Nusatenggara Timur (Adm1). 
2020-0518-IDN,2020,0518,,Natural,Geophysical,Volcanic activity,Lava flow,,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,East Java Province,,,,,,,,,,,,,,2020,12,1,2020,12,1,,,550,,550,,,,,,,88.43564081,1,1521,,Jawa Timur (Adm1). 
2021-0126-ECU,2021,0126,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Sangay,Ecuador,ECU,South America,Americas,Chimborazo province,,,,,,,,,,,,,,2021,3,,2021,3,15,,,133306,,133306,,,,,,,92.59019293,1,1139,,Chimborazo (Adm1). 
2021-0776-IDN,2021,0776,VO-2021-000194,Natural,Geophysical,Volcanic activity,Pyroclastic flow ,,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,Lumajang Regency; Malang Regency; Blitar district (Java Province),,,,,,Yes,,,,,,14:50,,2021,12,4,2021,12,9,71,27,10965,,10992,,,,,20000,21601,92.59019293,2,,18066;18073;18076;18082;73780,"Blitar, Kota Blitar, Kota Malang, Lumajang, Malang (Adm2). "
2021-0004-IDN,2021,0004,,Natural,Geophysical,Volcanic activity,Lava flow,,Mount Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,,,,,,2021,1,17,2021,1,17,,,1329,,1329,,,,,,,92.59019293,1,1520,,Jawa Tengah (Adm1). 
2022-0026-PER,2022,0026,VO-2022-000005,Natural,Geophysical,Volcanic activity,Ash fall,,Hunga-Tonga-Hunga-Ha'apai ,Peru,PER,South America,Americas,Ventanilla district,,Tsunami/Tidal wave,Oil spill,,,Yes,,,,,,,,2022,1,15,2022,1,15,2,,,,,,,,,,,100,,,,
2022-0144-IDN,2022,0144,,Natural,Geophysical,Volcanic activity,Pyroclastic flow ,,Mount Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Special Region of Yogyakarta,,,,,,,,,,,,,,2022,3,6,2022,3,10,,,253,,253,,,,,,,100,,,,
2020-0008-PHL,2020,0008,VO-2020-000002,Natural,Geophysical,Volcanic activity,Ash fall,,Taal volcano,Philippines (the),PHL,South-Eastern Asia,Asia,"Batangas, Cavite, Laguna, Quezon provinces (Calabarzon Region) ",,,,,,,,,,,,,,2020,1,12,2020,1,22,1,,736802,,736802,,,,,66000,74631,88.43564081,2,,24227;24228;24229;24234,"Batangas, Cavite, Laguna, Quezon (Adm2). "
2021-0284-RWA,2021,0284,,Natural,Geophysical,Volcanic activity,Lava flow,,Mount Nyiragongo,Rwanda,RWA,Eastern Africa,Africa,"Gisenyi, Rugerero, Rubavu and Nyamyumba (Rubavu district)",Seismic acitivities,Earthquake,,,,,,,,,,,,2021,5,22,2021,5,23,,,11625,1740,13365,,,,,,,92.59019293,2,,21998,Rubavu (Adm2). 
2021-0284-COD,2021,0284,,Natural,Geophysical,Volcanic activity,Lava flow,,Mount Nyiragongo,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,Goma,Seismic activities,Earthquake,,,,,,,,,,,,2021,5,22,2021,5,23,32,,288404,,288404,,,,,,,92.59019293,2,,74356,Goma (Adm2). 
2021-0376-PHL,2021,0376,VO-2021-000071,Natural,Geophysical,Volcanic activity,,,Taal volcano,Philippines (the),PHL,South-Eastern Asia,Asia,Agoncillo and Laurel municipaliies (Batangas in Luzon),,,,,,,,,,,,,,2021,7,1,2021,7,23,,,22433,,22433,,,,,,,92.59019293,2,,24227,Batangas (Adm2). 
2021-0613-SPI,2021,0613,,Natural,Geophysical,Volcanic activity,Lava flow,,Cumbre Vieja volcano,Canary Is,SPI,Southern Europe,Europe,La Palma Island,,,,,,Yes,,,,,,,,2021,9,19,2021,12,25,1,,339,6549,6888,,,,,1000000,1080028,92.59019293,2,,25789,Las Palmas (Adm2). 
2021-0195-VCT,2021,0195,VO-2021-000034,Natural,Geophysical,Volcanic activity,Pyroclastic flow ,,La Souffrière,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Saint-David, Charlotte",,,,Yes,Yes,,,,,,,,,2021,4,9,2021,4,30,,,13300,,13300,,,,,325000,351009,92.59019293,1,61286;61288,,"Charlotte, Saint David (Adm1). "
2021-0847-VUT,2021,0847,VO-2021-000174,Natural,Geophysical,Volcanic activity,Ash fall,,Volcano 'Yasur',Vanuatu,VUT,Melanesia,Oceania,,,,,,,,,,,,,,,2021,10,21,2021,10,22,,,3383,,3383,,,,,,,92.59019293,,,,
2022-0026-TON,2022,0026,VO-2022-000005,Natural,Geophysical,Volcanic activity,Ash fall,,Hunga-Tonga-Hunga-Ha'apai ,Tonga,TON,Polynesia,Oceania,Hunga Tonga-Hunga Ha’apai; Nuku’alofa; Uoleva; Uiha and Nomuka,,Tsunami/Tidal wave,,,Yes,Yes,,,,,,,,2022,1,15,2022,1,15,4,,84176,,84176,,,,,118000,118000,100,,,,
2022-0787-IDN,2022,0787,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,East Java Province,,,,,,,,,,,,02:46,,2022,12,4,2022,12,5,,,2489,,2489,,,,,,,100,,,,
2022-0176-PHL,2022,0176,,Natural,Geophysical,Volcanic activity,,,Taal,Philippines (the),PHL,South-Eastern Asia,Asia,Agoncillo and Laurel minicpalities (Batangas Province),,,,,,,,,,,,,,2022,3,26,2022,3,31,,,10415,,10415,,,,,,,100,2,,24227,Batangas (Adm2). 
2023-0287-GTM,2023,0287,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Fuego,Guatemala,GTM,Central America,Americas,"San Pedro Yepocapa, Chimaltenango, Panimaché I and II villages, El Porvenir and Morelia muncipalities",,,,,,,,,,,,,,2023,5,5,2023,5,5,,,1054,,1054,,,,,,,,,,,
2023-0355-PHL,2023,0355,VO-2023-000099,Natural,Geophysical,Volcanic activity,Lava flow,,Mount 'Mayon',Philippines (the),PHL,South-Eastern Asia,Asia,"Bacacay, Camalig, Daraga, Guinobatan, Ligao, Malilipot, Santo Domingo, Tabaco (Albay Province, Bicol Region)",,,,,,,,,,,,,,2023,6,5,2023,6,29,,628,41500,,42128,,,,,,,,2,,24240,Albay (Adm2). 